Evaluation date,Type of place evaluated,Commune name,Municipal section name,Neighborhood name,Name of the site,Spontaneous site type,Internally displaced households,IDPs counted,Site size in meters,Land ownership,Site creation date,Presence of IDPs?,Presence of old IDP returned?,Baby boys under 1 year old,Baby girls under a year old,Boys from 1 to 5 years old,Girls from 1 to 5 years old,Boys from 6 to 11 years old,Girls from 6 to 11 years old,Boys from 12 to 17 years old,Girls from 12 to 17 years old,People aged 60 and over,Department of origin for majority of IDPs,Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,Date fled,Reason for fleeing,Reason why IDP chose to take refuge in this place,Is the place accessible?,Tension between displaced people and the host community?,Distribution of food received?,Health assistance,Assistance psychosocial,Assistance WASH,Distribution CASH,Education assistance,Possession of identity documents by the majority of displaced persons?,If not why ?,"What are the 3 main
security concerns in the
site?",Do boys attend school?,Do girls attend school?,Health problems,proportion vaccine cholera,Why not cholera vaccine,How much Death Cholera,Food source,Access to fertile land,Proportion of persons carrying out a subsistence activity
2023-02-20,Host community,Delmas,1re Section St Martin,Delmas 44 - Cite Charitable,Not applicable to host communities,Not applicable to host communities,100,400,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,5,20,10,33,27,37,40,13,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Corail - Jerusalem,2023-1,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",no,no,no,no,no,no,no,no,Lack of time,arbitrary arrest,majority,majority,Illness_Peau Diarrhee fever,Nobody,no_vaccin,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-03-08,Host community,Tabarre,4e Section Bellevue,Dumornay,Not applicable to host communities,Not applicable to host communities,80,400,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,22,28,18,25,30,31,28,43,33,Ouest,Croix-Des-Bouquets,3ème Petit Bois,Noilles,2022-10,Attack/violence,Relationship or friendship with members of the host community,"No, because of security",Yes,no,no,no,no,no,no,no,other,"fight gang attack ga, g gang font",some,some,diarrhee fever disease_peau,The majority of people (around 75%),fear,,Borrowing bake purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-03-10,Site,Port-au-Prince,1re Section Turgeau,Haut Nazon,Morne de Priere de Solino (Impasse Tricher /Camep),Site installed on an air space,70,395,Over 150 square meters,To private persons,2023-03-01,Yes,,5,7,12,9,15,17,14,19,27,Ouest,Port-au-Prince,6ème Turgeau,Solino,2023-3,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",no,no,no,no,no,no,no,Yes,,"gang police attack ga, g gang combat",majority,half,diarrhee disease_peau fever,A few people (about 25%),Pas_souha was afraid,,Purchase_Marche,"In any case, there is no cultivable land available in the area",some
2023-03-10,Site,Port-au-Prince,1re Section Turgeau,Fort National,Temple Vaudou / Home Membo Guetie You Jean Odline Manbo,Temple/Church,78,390,Over 150 square meters,To private persons,2023-03-01,Yes,,15,20,10,13,18,23,50,70,6,Ouest,Port-au-Prince,6ème Turgeau,Fort National,2023-3,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,no,Neglect,"Attack GA, G Fight gang gang police",some,some,diarrhee infection_plaie cough,Nobody,Pas_souha was afraid,,Purchase_Marche loan,No access to cultivable land,some
2023-02-15,Site,Tabarre,3e Section Bellevue,Croix-des-Missions,New Vision New Vision School,School,94,376,Over 150 square meters,To private persons,2022-07-01,Yes,,2,7,7,6,10,20,42,17,11,Ouest,Tabarre,2ème Crochus,Butte Boyer,2022-4,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,no,other,"Combat Gang Attaque GA, G taxe illegal",some,some,cough diarrhee fever,A few people (about 25%),Pas_souha was afraid,,Purchase_Marche loan,No access to cultivable land,some
2023-03-06,Host community,Delmas,1re Section St Martin,Puits Blain,Not applicable to host communities,Not applicable to host communities,59,376,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,11,17,19,29,12,28,21,37,15,Ouest,Croix-Des-Bouquets,3ème Bellevue,Corail - Jerusalem,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,kidnapping extorsion vol,some,some,Diarrhee cough fever,About half of the people,fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-02-14,Host community,Carrefour,10e Section Thor,Haut Rivière Froide,Not applicable to host communities,Not applicable to host communities,74,370,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,1,0,35,75,10,20,12,13,35,Ouest,Carrefour,16ème Taïfer,Ti kajou,2021-8,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,Vol Arbitrary Arbitration Abuse Police,some,some,Malnutrition cough fever,A few people (about 25%),fear,,purchase_ other,"In any case, there is no cultivable land available in the area",none
2023-02-23,Host community,Carrefour,11e Section Rivière Froide,Phare Lamentin,Not applicable to host communities,Not applicable to host communities,90,360,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,10,8,22,30,40,50,20,25,20,Ouest,Carrefour,11ème Rivière Froide,Phare Lamentin,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Ga attack, g other",some,some,Fivem cough illness_peau,A few people (about 25%),fear,,purchase_ other,"In any case, there is no cultivable land available in the area",some
2023-03-10,Host community,Port-au-Prince,1re Section Turgeau,Melerie,Not applicable to host communities,Not applicable to host communities,70,350,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,20,40,20,20,5,5,10,10,30,Ouest,Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Flight attack GA, G gang font",some,some,DIARRHEE FEVEMP,Do not know / no answer,,,Purchase_Marche Troc,"In any case, there is no cultivable land available in the area",some
2023-02-16,Host community,Delmas,1re Section St Martin,Catalpa - Delmas 75,Not applicable to host communities,Not applicable to host communities,82,343,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,16,11,18,27,18,35,23,46,13,Ouest,Croix-Des-Bouquets,2ème Varreux (Marin),Bonrepos - Lizon,2022-6,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,Kidnapping Flights Sexual Violence,some,some,Toux fever diarrhee,A few people (about 25%),fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",majority
2023-03-02,Host community,Carrefour,9e Section Bizoton,La Belair,Not applicable to host communities,Not applicable to host communities,65,325,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,15,13,20,25,35,40,25,30,10,Ouest,Carrefour,9ème Bizoton,La Belair,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,no,other,"GA attack, g illegal kidnapping tax",some,some,cough malaria infection_plaie,The majority of people (around 75%),fear,,Purchase_Marche Production_Subsistance,No access to cultivable land,some
2023-02-20,Host community,Port-au-Prince,2e Section Morne l'Hopital,Baillergeau,Not applicable to host communities,Not applicable to host communities,80,320,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,0,15,10,20,30,40,60,15,Ouest,Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,NSP,,other,some,some,diarrhee disturbances_psychologies disease_peau,Do not know / no answer,,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",NSP
2023-02-23,Host community,Delmas,1re Section St Martin,Rousseau - Dupre - Village ULDECA,Not applicable to host communities,Not applicable to host communities,69,317,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,9,23,18,6,17,25,71,15,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Corail,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,other,"Arbitrary Arbitration Attack Ga, G Kidnapping",none,none,Illness_peau Diarrhee cough,All people (around 100%),,,Purchase_ assault_hum,"In any case, there is no cultivable land available in the area",none
2023-02-20,Site,Delmas,1re Section St Martin,Fragneauville - 75,New Church of God of Delivrance,Temple/Church,86,310,Over 150 square meters,To private persons,2022-03-01,Yes,,6,4,14,16,4,10,6,9,6,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2023-1,Attack/violence,Secure location closest to provenance,Yes,Yes,no,no,no,no,no,no,no, Lack of financial means,Kidnapping Vol arbitrary arrest,none,none,Diarrhee cough fever,Nobody,fear,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-28,Site,Pétion-Ville,5e Section Bellevue Chardonnière,Pernier 24,Mixed College of Pernier,School,90,309,Over 150 square meters,Do not know,2010-01-01,Yes,,7,9,12,16,18,20,30,47,10,Ouest,Pétion-Ville,4ème Bellevue la Montagne,Calbacher - Claire-Heureuse et Bois Source - Gros Jean,2022-12,Attack/violence,Availability of humanitarian assistance,Yes,no,no,no,no,no,no,no,Yes,,"Ga attack, g fight gang kidnapping",majority,majority,diarrhee cough fever,Nobody,no_vaccin,,Purchase_ assault_hum,No access to cultivable land,some
2023-02-20,Host community,Carrefour,9e Section Bizoton,Nan Citron - Village Michel,Not applicable to host communities,Not applicable to host communities,50,300,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,9,8,15,20,30,30,40,7,Ouest,Carrefour,10ème Thor,Nan Citron - Village Michel,2021-6,Attack/violence,Secure location closest to provenance,"No, because of physical access",no,no,no,no,no,no,no,no, Lack of financial means,"Ga attack, g other",some,some,Diarrhee cough fever,About half of the people,fear,10,Purchase_Marche,"In any case, there is no cultivable land available in the area",some
2023-03-01,Host community,Carrefour,11e Section Rivière Froide,Malcom,Not applicable to host communities,Not applicable to host communities,50,300,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,10,15,20,30,35,40,20,30,10,Ouest,Port-au-Prince,10ème Thor,Bas Martissant,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,no,No office,"Attack GA, G Fight gang gang police",some,some,diarrhee infection_plaie disease_peau,A few people (about 25%),not,,Purchase_Marche,No access to cultivable land,some
2023-03-01,Host community,Carrefour,10e Section Thor,Bizoton - Bergamot,Not applicable to host communities,Not applicable to host communities,50,300,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,10,23,29,40,50,20,30,7,Ouest,Carrefour,8ème Martissant,Bizoton - Bergamot,2021-6,Attack/violence,Secure location closest to provenance,Yes,Yes,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,Disease_ PEX,About half of the people,fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",half
2023-03-07,Host community,Carrefour,10e Section Thor,Larame,Not applicable to host communities,Not applicable to host communities,60,300,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,20,25,30,25,15,20,20,19,30,Ouest,Carrefour,8ème Martissant,Larame,2021-6,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",Yes,no,no,no,no,no,no,Yes,,other,some,some,Diarrhee fever cough,About half of the people,fear,,Purchase_Marche loan,No access to cultivable land,some
2023-03-01,Site,Port-au-Prince,3e Section Martissant,Cite Louverture,Church Providence by Jesus Christ,Temple/Church,60,300,Between 100 and 150 square meters,To private persons,2022-02-01,Yes,,15,18,25,23,9,11,28,31,6,Ouest,Port-au-Prince,9ème Bizoton,Cite Louverture,2022-11,Attack/violence,Secure location closest to provenance,"No, because of security",no,no,no,no,no,no,no,no,other,"Attack GA, G Gang Police Combat Gang",some,none,Fever disease_peau cholera,Do not know / no answer,,,other,No access to cultivable land,none
2023-02-14,Host community,Delmas,1re Section St Martin,Cite Demele,Not applicable to host communities,Not applicable to host communities,74,296,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,3,4,30,50,25,42,23,32,8,Nord-Ouest,Bombardopolis,2ème des Forges,CANAAN,2022-6,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,kidnapping vol extorsion,some,majority,cough illness_peau fever,The majority of people (around 75%),fear,,Borrowing production_subsistance,No access to cultivable land,some
2023-02-22,Host community,Cité Soleil,2e Section des Varreux,Village des Rapatries - Menetas,Not applicable to host communities,Not applicable to host communities,60,295,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,10,15,25,20,30,35,40,10,Ouest,Cité Soleil,1ère Varreux,Village des Rapatries - Menetas,2022-12,Attack/violence,Secure location closest to provenance,Yes,no,Yes,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",majority,majority,Malnutrition fever,A few people (about 25%),fear,,Production_Substance borrowing,No access to cultivable land,some
2023-02-16,Site,Cité Soleil,2e Section des Varreux,Zone Industrielle,Covel SA (Rue Michico),Site installed on an air space,58,292,Over 150 square meters,To private persons,2021-03-01,Yes,,1,1,13,7,4,6,10,5,5,Ouest,Cité Soleil,1ère Varreux,Zone Industrielle,2021-4,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,Cholera disease fever_peau,A few people (about 25%),fear,,Production_Subsistance Other,"In any case, there is no cultivable land available in the area",some
2023-02-23,Host community,Tabarre,3e Section Bellevue,Mais GGte - Clercine 8,Not applicable to host communities,Not applicable to host communities,58,290,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,4,7,28,21,18,30,25,23,8,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-8,Attack/violence,Access to the best living conditions,Yes,no,no,no,no,no,no,no,Yes,,"kidnapping attaque ga,g",some,some,diarrhee fever disease_peau,About half of the people,fear,,Purchase_Marche Troc,"In any case, there is no cultivable land available in the area",some
2023-03-06,Host community,Carrefour,9e Section Bizoton,Grand Caye - Marre Bizoton,Not applicable to host communities,Not applicable to host communities,47,282,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,20,15,15,20,20,25,25,30,21,Ouest,Carrefour,9ème Bizoton,Grand Caye - Marre Bizoton,2021-6,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",Yes,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang Vol",some,some,Disease_peau fever cholera,The majority of people (around 75%),fear,1,Purchase_Marche Production_Subsistance,No access to cultivable land,some
2023-02-16,Host community,Tabarre,3e Section Bellevue,Digue - Route Rails,Not applicable to host communities,Not applicable to host communities,70,280,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,10,15,13,16,15,14,17,30,20,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-11,Attack/violence,Access to the best living conditions,Yes,Yes,no,no,no,no,no,no,Yes,,Vol Extoming illegal tax,some,some,Infection fever_plaie disease_peau,A few people (about 25%),fear,,Purchase_Marche Production_Subsistance,"In any case, there is no cultivable land available in the area",some
2023-02-22,Site,Delmas,1re Section St Martin,Delmas 65,Church of Christian God Union of the brothers of Delmas,Temple/Church,65,273,Over 150 square meters,To private persons,2022-05-01,Yes,,3,3,15,15,28,17,10,16,9,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-6,Attack/violence,Access to the best living conditions,Yes,no,no,no,no,no,no,no,Yes,,other,half,half,cough illness_peau troubles_psychological,Nobody,not,,other,"In any case, there is no cultivable land available in the area",some
2023-02-22,Site,Delmas,1re Section St Martin,Delmas 32,Mixed School of Education Foyer,School,90,271,Over 150 square meters,To private persons,2021-07-01,Yes,,9,7,6,22,13,12,4,8,5,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-7,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Ga attack, g sexual violence flight",majority,majority,Diarrhee cough fever,Nobody,other,,Purchase_Marche,"In any case, there is no cultivable land available in the area",some
2023-02-23,Host community,Carrefour,11e Section Rivière Froide,Littoral Est - Gressier,Not applicable to host communities,Not applicable to host communities,54,270,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,7,13,9,7,8,11,7,10,43,Ouest,Gressier,1ère Morne à Bateau,,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,no,Lack of time,Extoming sexual violence flight,some,some,disease_peau infection_plaie cholera,Nobody,no_vaccin,3,Barter production_subsistance,No access to cultivable land,some
2023-02-23,Host community,Tabarre,3e Section Bellevue,Mais-GGte - Clercine 2,Not applicable to host communities,Not applicable to host communities,53,265,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,6,26,32,21,25,18,18,6,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"attaque ga,g kidnapping",some,some,Diarrhee cough fever,About half of the people,Pas_souha was afraid,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-03-06,Site,Tabarre,3e Section Bellevue,Croix-des-Missions,Place Clercine,Site installed on an air space,65,260,Over 150 square meters,Public space / government,2022-04-01,Yes,,3,5,10,16,37,27,17,44,9,Ouest,Tabarre,3ème Bellevue,Butte Boyer,2022-4,Attack/violence,Secure location closest to provenance,Yes,Yes,no,no,no,no,no,no,no,other,"Gang Police Attack Ga, G Flight",some,some,Fever disease_peau infection_plaie,A few people (about 25%),fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",none
2023-02-16,Host community,Tabarre,3e Section Bellevue,Sarthe,Not applicable to host communities,Not applicable to host communities,85,255,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,7,12,8,6,8,10,23,37,6,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-11,Attack/violence,Access to the best living conditions,Yes,no,no,no,no,no,no,no,NSP,,"Attack GA, G Fight gang gang police",some,some,cough fever disease_peau,A few people (about 25%),Pas_souha was afraid,,Purchase_ borrowing borrowing,"In any case, there is no cultivable land available in the area",some
2023-02-16,Host community,Port-au-Prince,1re Section Turgeau,Croix Desprez - Ti-Source,Not applicable to host communities,Not applicable to host communities,50,250,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,5,15,20,10,15,10,20,20,Ouest,Port-au-Prince,1ère Varreux,Savanne Pistaches,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,NSP,,other,none,none,Diarrhee cholera illness_peau,Nobody,no_vaccin,3,Purchase_Marche loan,No access to cultivable land,NSP
2023-02-17,Host community,Port-au-Prince,2e Section Morne l'Hopital,Tapis Rouge,Not applicable to host communities,Not applicable to host communities,50,250,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,0,0,8,12,10,20,15,5,25,Ouest,Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,NSP,,other,some,some,cholera illness_peau fever,A few people (about 25%),fear,3,Purchase_Marche Troc,"In any case, there is no cultivable land available in the area",NSP
2023-02-15,Host community,Carrefour,11e Section Rivière Froide,Bertin,Not applicable to host communities,Not applicable to host communities,50,250,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,10,5,25,10,5,5,4,6,12,Ouest,Port-au-Prince,7ème Morne l'Hopital,Bas Martissant,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,No office,Arbitrary arbitrary arrest police tax illegal,half,half,cholera fever malaria,About half of the people,fear,5,Purchase_Marche Production_Subsistance,No access to cultivable land,some
2023-02-22,Host community,Carrefour,11e Section Rivière Froide,Ravine Ti-Source,Not applicable to host communities,Not applicable to host communities,50,250,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,10,15,20,25,20,25,15,10,15,Ouest,Cité Soleil,2ème Varreux (Canaan - Jerusalem),Vaudreuil - Truttier,2022-3,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,NSP,,Abuse Police Extoming Flight,half,half,infection_plaie disease_peau cholera,About half of the people,not,4,Purchase_Marche Troc,No access to cultivable land,some
2023-02-23,Host community,Croix-Des-Bouquets,9e Section des Crochus,Corail - Jerusalem,Not applicable to host communities,Not applicable to host communities,50,250,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,10,20,10,15,10,20,30,25,30,Ouest,Delmas,2ème Varreux (Canaan - Jerusalem),Delmas 33,2023-1,Attack/violence,Relationship or friendship with members of the host community,"No, because of security",no,no,no,no,no,no,no,NSP,,Kidnapping police gang sexual violence,some,some,cough fever troubles_psychological,Nobody,fear,,Borrow purchase_Marche barter,"In any case, there is no cultivable land available in the area",some
2023-02-23,Host community,Croix-Des-Bouquets,2e Section des Varreux,Duval,Not applicable to host communities,Not applicable to host communities,50,250,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,15,15,15,15,20,20,25,25,30,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Duval,2022-7,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",no,no,no,no,no,no,no,Yes,,Flight combat gang abuse police,all,all,Diarrhee cough fever,Nobody,fear,,Production_Substance borrowing,"In any case, there is no cultivable land available in the area",some
2023-02-24,Host community,Delmas,1re Section St Martin,Simon Pele,Not applicable to host communities,Not applicable to host communities,50,250,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,7,10,8,13,12,20,15,20,15,Ouest,Croix-Des-Bouquets,1ère Petit Bois,Canaan - Jerusalem,2023-1,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",no,no,no,no,no,no,no,Yes,,other,majority,majority,diarrhee cough illness_peau,The majority of people (around 75%),fear not,7,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-02-15,Host community,Port-au-Prince,3e Section Martissant,Morne Madan Garnot,Not applicable to host communities,Not applicable to host communities,50,250,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,15,25,15,10,25,35,25,30,15,Ouest,Port-au-Prince,5ème Saint Martin,Morne Madan Garnot,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"recruitment child gang combat gang attack ga, g",half,majority,cholera fever diarrhee,A few people (about 25%),fear,5,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-02-27,Host community,Delmas,1re Section St Martin,Cite Militaire,Not applicable to host communities,Not applicable to host communities,50,250,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,4,6,8,13,13,19,17,22,12,Ouest,Croix-Des-Bouquets,8ème Martissant,Canaan - Jerusalem,2022-7,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,other,majority,majority,disease_peau cough diarrhee,The majority of people (around 75%),fear,1,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-03-02,Host community,Port-au-Prince,1re Section Turgeau,Delmas 48,Not applicable to host communities,Not applicable to host communities,50,250,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,8,12,10,5,15,15,10,15,20,Ouest,Croix-Des-Bouquets,8ème Martissant,Canaan - Jerusalem,2023-2,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,NSP,,other,some,some,cholera fever cough,A few people (about 25%),fear,4,Barter purchase_marche,No access to cultivable land,some
2023-03-02,Host community,Delmas,1re Section St Martin,Valme,Not applicable to host communities,Not applicable to host communities,60,244,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,8,15,10,25,15,23,15,20,16,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,No office,Flight abuses illegal tax,half,half,cough illness_peau fever,Nobody,fear,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",none
2023-03-02,Host community,Carrefour,10e Section Thor,Haut Chaud-Eau,Not applicable to host communities,Not applicable to host communities,40,240,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,10,11,11,23,19,14,15,18,11,Ouest,Carrefour,10ème Thor,Haut Chaud-Eau,2021-7,Attack/violence,Secure location closest to provenance,"No, because of physical access",Yes,no,no,no,no,no,no,no, Lack of financial means,"Attack GA, G Fight gang gang police",some,some,cholera cough fever,About half of the people,fear,4,Borrow purchase_Marche other,"In any case, there is no cultivable land available in the area",some
2023-02-24,Site,Pétion-Ville,5e Section Bellevue Chardonnière,Beauduit,Groups of mighty women,Temple/Church,98,235,Over 150 square meters,To people with a kinship with IDPs,2021-11-01,Yes,,13,12,24,28,14,17,8,12,4,Ouest,Pétion-Ville,4ème Bellevue la Montagne,Greffin,2021-11,Attack/violence,Availability of humanitarian assistance,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",none,none,diarrhee cough fever,Nobody,no_vaccin,,Purchase_Marche,No access to cultivable land,none
2023-02-14,Host community,Delmas,1re Section St Martin,Charbonnière,Not applicable to host communities,Not applicable to host communities,71,225,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,5,8,6,12,11,9,15,12,30,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-10,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,kidnapping vol,majority,majority,cholera diarrhee malnutrition,A few people (about 25%),fear,,Borrowing,No access to cultivable land,some
2023-02-22,Host community,Delmas,1re Section St Martin,Delmas 75,Not applicable to host communities,Not applicable to host communities,54,219,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,2,3,17,23,11,25,18,26,9,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Corail,2022-10,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"GA attack, g kidnapping police abuse",none,none,FEVEMPSYCHOLOGIES FEVEMP,A few people (about 25%),fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",half
2023-02-22,Host community,Delmas,1re Section St Martin,Kernizan - Defilee - Charlemagne Peralte,Not applicable to host communities,Not applicable to host communities,70,217,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,1,4,11,17,13,9,27,29,8,Ouest,Pétion-Ville,2ème Varreux (Canaan - Jerusalem),Pernier 24,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,No office,"kidnapping attaque ga,g vol",some,some,Diarrhee cough fever,Nobody,no_vaccin,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-03-01,Host community,Delmas,1re Section St Martin,Adoquin - Colofe,Not applicable to host communities,Not applicable to host communities,53,217,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,3,7,12,17,5,19,15,28,6,Ouest,Croix-Des-Bouquets,4ème Bellevue la Montagne,Canaan - Jerusalem,2022-10,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,"vol attaque ga,g kidnapping",some,some,Fivem cough illness_peau,A few people (about 25%),fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
